"ORGAO ORCAMENTARIO","EXERCICIO FINANCEIRO","SKU RECEITA","VALOR"
"Governo Federal",2023-01-01,"RECEITAS CORRENTES",2367191535840
"Governo Federal",2023-01-01,"RECEITAS DE CAPITAL",824446353061
"Governo Federal",2023-01-01,"REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL",2010264256580
"Governo Federal",2022-01-01,"RECEITAS CORRENTES",2142981365077
"Governo Federal",2022-01-01,"RECEITAS DE CAPITAL",702177937870
"Governo Federal",2022-01-01,"REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL",1884865486134
"Governo Federal",2021-01-01,"RECEITAS CORRENTES",1664484384614
"Governo Federal",2021-01-01,"RECEITAS DE CAPITAL",912998073178
"Governo Federal",2021-01-01,"REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL",1603521711208
"Governo Federal",2020-01-01,"RECEITAS CORRENTES",1725011366721
"Governo Federal",2020-01-01,"RECEITAS DE CAPITAL",923373680884
"Governo Federal",2020-01-01,"REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL",917135052463
"Governo Federal",2019-01-01,"RECEITAS CORRENTES",1658610787122
"Governo Federal",2019-01-01,"RECEITAS DE CAPITAL",844925523375
"Governo Federal",2019-01-01,"REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL",758672993326
"Governo Federal",2018-01-01,"RECEITAS CORRENTES",1532404267824
"Governo Federal",2018-01-01,"RECEITAS DE CAPITAL",816801389854
"Governo Federal",2018-01-01,"REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL",1157215424954
"Governo Federal",2017-01-01,"RECEITAS CORRENTES",1487727433133
"Governo Federal",2017-01-01,"RECEITAS DE CAPITAL",981296040440
"Governo Federal",2017-01-01,"REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL",946407726665
"Governo Federal",2016-01-01,"RECEITAS CORRENTES",1501491213250
"Governo Federal",2016-01-01,"RECEITAS DE CAPITAL",567054843754
"Governo Federal",2016-01-01,"REFINANCIAMENTO DA DIVIDA PUBLICA FEDERAL",885000330304
